,model,dataset_key,augmentation,param1_name,param1_value,param2_name,param2_value,BeetleFly,CinCECGTorso,ECG5000,FiftyWords,Ham,MoteStrain,OliveOil,PhalangesOutlinesCorrect,ScreenType,ShapesAll,,,,,,,,,,,
84,minirocket,3,window_warp,window_ratio,0.5,,,0.9,0.702,0.94,0.644,0.686,0.897,0.567,0.767,0.443,0.793,,,,,,,,,,,
85,minirocket,3,window_warp,window_ratio,0.6,,,0.9,0.717,0.939,0.648,0.667,0.905,0.467,0.77,0.424,0.777,,,,,,,,,,,
86,minirocket,3,window_warp,window_ratio,0.7,,,0.7,0.704,0.944,0.651,0.695,0.903,0.567,0.774,0.427,0.802,,,,,,,,,,,
87,minirocket,3,window_warp,window_ratio,0.8,,,0.85,0.751,0.941,0.732,0.695,0.875,0.6,0.814,0.437,0.827,,,,,,,,,,,
88,minirocket,3,window_warp,window_ratio,0.9,,,0.85,0.782,0.944,0.789,0.705,0.896,0.633,0.809,0.451,0.892,,,,,,,,,,,
89,minirocket,3,window_warp,window_ratio,1,,,,,,,,,,,,,,,,,,,,,,,
90,minirocket,3,window_warp,window_ratio,1.1,,,,,,,,,,,,,,,,,,,,,,,
91,minirocket,3,window_warp,window_ratio,1.2,,,,,,,,,,,,,,,,,,,,,,,
92,minirocket,3,window_warp,window_ratio,1.3,,,,,,,,,,,,,,,,,,,,,,,
93,minirocket,3,window_warp,window_ratio,1.4,,,,,,,,,,,,,,,,,,,,,,,
94,minirocket,3,window_warp,window_ratio,1.5,,,,,,,,,,,,,,,,,,,,,,,
95,minirocket,3,window_warp,window_ratio,1.6,,,,,,,,,,,,,,,,,,,,,,,
96,minirocket,3,window_warp,window_ratio,1.7,,,,,,,,,,,,,,,,,,,,,,,
97,minirocket,3,window_warp,window_ratio,1.8,,,,,,,,,,,,,,,,,,,,,,,
98,minirocket,3,window_warp,window_ratio,1.9,,,,,,,,,,,,,,,,,,,,,,,
99,minirocket,3,window_warp,window_ratio,2,,,,,,,,,,,,,,,,,,,,,,,
100,minirocket,3,spawner,sigma,0.01,,,0.95,0.591,0.934,0.56,0.819,0.808,0.6,0.774,0.485,0.887,,,,,,,,,,,
101,minirocket,3,spawner,sigma,0.05,,,1,0.587,0.937,0.534,0.838,0.793,0.467,0.723,0.424,0.838,,,,,,,,,,,
102,minirocket,3,spawner,sigma,0.09,,,0.95,0.612,0.933,0.543,0.838,0.835,0.4,0.707,0.453,0.822,,,,,,,,,,,
103,minirocket,3,spawner,sigma,0.13,,,1,0.566,0.937,0.538,0.848,0.792,0.533,0.675,0.44,0.8,,,,,,,,,,,
104,minirocket,3,spawner,sigma,0.17,,,0.9,0.512,0.939,0.519,0.829,0.771,0.467,0.664,0.469,0.797,,,,,,,,,,,
105,minirocket,3,spawner,sigma,0.21,,,0.95,0.461,0.929,0.545,0.876,0.773,0.433,0.638,0.464,0.79,,,,,,,,,,,
106,minirocket,3,spawner,sigma,0.25,,,0.95,0.523,0.934,0.516,0.838,0.787,0.433,0.64,0.461,0.792,,,,,,,,,,,
107,minirocket,3,spawner,sigma,0.29,,,0.75,0.517,0.934,0.516,0.79,0.783,0.333,0.615,0.429,0.757,,,,,,,,,,,
108,minirocket,3,spawner,sigma,0.33,,,0.85,0.49,0.93,0.457,0.838,0.756,0.333,0.631,0.395,0.75,,,,,,,,,,,
109,minirocket,3,spawner,sigma,0.37,,,0.9,0.425,0.923,0.488,0.838,0.757,0.333,0.594,0.437,0.71,,,,,,,,,,,
110,minirocket,3,spawner,sigma,0.41,,,1,0.526,0.929,0.481,0.771,0.764,0.367,0.598,0.424,0.72,,,,,,,,,,,
111,minirocket,3,spawner,sigma,0.45,,,0.95,0.447,0.924,0.505,0.8,0.796,0.2,0.579,0.416,0.728,,,,,,,,,,,
112,minirocket,3,spawner,sigma,0.49,,,0.8,0.496,0.931,0.429,0.724,0.754,0.433,0.568,0.448,0.655,,,,,,,,,,,
113,minirocket,3,spawner,sigma,0.53,,,0.95,0.483,0.924,0.508,0.886,0.737,0.3,0.583,0.448,0.652,,,,,,,,,,,
114,minirocket,3,spawner,sigma,0.57,,,0.95,0.462,0.928,0.451,0.8,0.724,0.533,0.599,0.448,0.663,,,,,,,,,,,
115,minirocket,3,spawner,sigma,0.61,,,0.85,0.519,0.924,0.457,0.771,0.746,0.533,0.555,0.435,0.662,,,,,,,,,,,
116,minirocket,3,spawner,sigma,0.65,,,0.75,0.433,0.926,0.464,0.733,0.781,0.333,0.597,0.467,0.655,,,,,,,,,,,
117,minirocket,3,spawner,sigma,0.69,,,0.85,0.476,0.926,0.446,0.771,0.734,0.467,0.589,0.453,0.65,,,,,,,,,,,
118,minirocket,3,spawner,sigma,0.73,,,0.9,0.474,0.924,0.437,0.724,0.758,0.4,0.572,0.464,0.63,,,,,,,,,,,
119,minirocket,3,spawner,sigma,0.77,,,0.85,0.486,0.924,0.404,0.724,0.78,0.367,0.589,0.496,0.595,,,,,,,,,,,
120,minirocket,3,spawner,sigma,0.81,,,0.85,0.478,0.921,0.407,0.752,0.728,0.467,0.596,0.419,0.608,,,,,,,,,,,
121,minirocket,3,spawner,sigma,0.85,,,0.85,0.459,0.917,0.42,0.724,0.748,0.367,0.584,0.429,0.592,,,,,,,,,,,
122,minirocket,3,spawner,sigma,0.89,,,0.85,0.439,0.921,0.402,0.695,0.75,0.267,0.578,0.496,0.585,,,,,,,,,,,
123,minirocket,3,spawner,sigma,0.93,,,0.9,0.441,0.922,0.391,0.638,0.735,0.467,0.587,0.491,0.558,,,,,,,,,,,
124,minirocket,3,spawner,sigma,0.97,,,0.85,0.443,0.917,0.407,0.752,0.742,0.433,0.593,0.477,0.558,,,,,,,,,,,
125,minirocket,3,spawner,sigma,1.01,,,0.75,0.475,0.918,0.382,0.771,0.664,0.433,0.569,0.453,0.547,,,,,,,,,,,
126,minirocket,3,wdba,batch_size,1,,,0.95,0.774,0.935,0.822,0.838,0.927,0.867,0.795,0.456,0.897,,,,,,,,,,,
127,minirocket,3,wdba,batch_size,2,,,0.85,0.812,0.953,0.811,0.781,0.878,0.8,0.824,0.488,0.877,,,,,,,,,,,
